v 0.1,,Units,Norm or precisions on parameter,Example
,,,,
MEASURE,,,,
MEASURE.Sample,,None,,Water
MEASURE.Date_of_measure,,None,ISO 8601,2024-11-18T14:17:55.294821
MEASURE.Exposure_(s),,s,,0.1
MEASURE.Dimensionnality_of_measure,,None,,2
MEASURE.Abscissa_Names,,None,,"Position x,Position y,Position z,Time"
"MEASURE.Sampling_Matrix_Size_(Nx,Ny,Nz)_()",,None,,"(100,100,1)"
"MEASURE.Sampling_Step_Size_(dx,dy,dz)_(um)",,um,,"(10,10,0)"
"MEASURE.Field_Of_View_(X,Y,Z)_(um)",,um,,"(1000,1000,0)"
,,,,
SPECTROMETER,,,,
SPECTROMETER.Type,,None,,Tandem Fabry-Perot
SPECTROMETER.Model,,None,Manufacturer-Model,JRS-TFP2
SPECTROMETER.Wavelength_(nm),,nm,,532
SPECTROMETER.Confocal_Pinhole_Diameter_(AU),,AU,,1
SPECTROMETER.Detection_Lens_NA,,None,,0.45
SPECTROMETER.Detector_Model,,None,Manufacturer-Model,Hamamatsu-Orca C11440
SPECTROMETER.Detector_Type,,None,,CMOS
SPECTROMETER.Filtering_Type,,None,,Gas cell
SPECTROMETER.Filtering_Module,,None,Manufacturer-Model,Thorlabs-GC19100-I
SPECTROMETER.Illumination_Lens_NA,,None,Taking into account beam size before lens or objective,0.2
SPECTROMETER.Illumination_Power_(mW),,mW,Measured at the sample,15
SPECTROMETER.Illumination_Type,,None,,CW Laser
SPECTROMETER.Laser_Model,,None,Manufacturer-Model,Cobolt-Samba
SPECTROMETER.Laser_Drift_MHz_per_h,,MHz/h,Measured independently of spectrometer drifts,700
SPECTROMETER.Phonons_Measured,,None,"Longitudinal, Transverse or both",Longitudinal & Transverse
SPECTROMETER.Polarization_probed-analyzed,,None,Probed-Analyzed,Vertical-Horizontal
SPECTROMETER.Scan_Amplitude_(GHz),,GHz,Only for scanning spectrometers,20
SPECTROMETER.Scanning_Strategy,,None,,Raster scan
SPECTROMETER.Scattering_Angle_(deg),,degrees,The angle between the illumination and the detection,180
SPECTROMETER.Spectral_Resolution_(MHz),,MHz,Largest easured value,150
SPECTROMETER.x-Mechanical_Resolution_(um),,um,Estimated (phonon lifetime),0.5
SPECTROMETER.x-Optical_Resolution_(um),,um,Measured,5
SPECTROMETER.y-Mechanical_Resolution_(um),,um,Estimated (phonon lifetime),0.5
SPECTROMETER.y-Optical_Resolution_(um),,um,Measured,5
SPECTROMETER.z-Mechanical_Resolution_(um),,um,Estimated (phonon lifetime),0.5
SPECTROMETER.z-Optical_Resolution_(um),,um,Measured,50
,,,,
FILEPROP,,,,
FILEPROP.BLS_HDF5_Version,v0.1,None,Version of the spreadsheet - Don't change,0.1
FILEPROP.Filepath,,None,Global name of the h5 file,\Users\library\documents\BLS.h5
FILEPROP.Name,,None,,Water spectrum